generated_at,horizon,regime_state,close,ret_pred,projected_price,raw_probability,calibrated_probability,calibration_delta,direction_next,raw_side,calibrated_side,ret_side,projected_side,ret_alignment_bucket,projected_alignment_bucket,calibration_key,used_regime_key
2026-03-17T01:54:55.275645+00:00,12h,trend_ignition,75270.24,0.010376442223787308,76055.34354294202,0.3672999754666317,0.7797544360977827,0.41245446063115104,up,down,up,up,up,calibration_fixed_mismatch,calibration_fixed_mismatch,12h,False
2026-03-17T01:54:55.275645+00:00,1h,trend_ignition,75270.24,0.00358485896140337,75540.55742982916,0.27852097153663635,0.3350691088923823,0.05654813735574593,down,down,down,up,up,both_mismatch,both_mismatch,1h@trend_ignition,True
2026-03-17T01:54:55.275645+00:00,4h,trend_ignition,75270.24,0.008369356393814087,75902.84702861276,0.817613193357829,0.49821701580589745,-0.31939617755193156,down,up,neutral,up,up,calibration_introduced_mismatch,calibration_introduced_mismatch,4h,False
2026-03-17T01:54:55.275645+00:00,8h,trend_ignition,75270.24,0.011813079938292503,76164.68604183807,0.9509021441141764,0.9216380130774737,-0.029264131036702667,up,up,up,up,up,both_match,both_match,8h,False
2026-03-17T02:01:32.863102+00:00,12h,trend_ignition,75655.29,0.012300929985940456,76591.66777695509,0.3641796822797498,0.7771499051881698,0.41297022290842006,up,down,up,up,up,calibration_fixed_mismatch,calibration_fixed_mismatch,12h,False
2026-03-17T02:01:32.863102+00:00,1h,trend_ignition,75655.29,0.0034240633249282837,75914.7825096899,0.31780276921662415,0.3618076734840315,0.04400490426740733,down,down,down,up,up,both_mismatch,both_mismatch,1h@trend_ignition,True
2026-03-17T02:01:32.863102+00:00,4h,trend_ignition,75655.29,0.010062657296657562,76420.42645262438,0.6194466364880403,0.20229038091928864,-0.4171562555687517,down,up,down,up,up,calibration_introduced_mismatch,calibration_introduced_mismatch,4h,False
2026-03-17T02:01:32.863102+00:00,8h,trend_ignition,75655.29,0.013081134296953678,76651.44824379886,0.8175737236936887,0.7147974887443836,-0.1027762349493051,up,up,up,up,up,both_match,both_match,8h,False
2026-03-17T02:41:39.906932+00:00,12h,trend_ignition,75655.29,0.012300929985940456,76591.66777695509,0.3641796822797498,0.7771499051881698,0.41297022290842006,up,down,up,up,up,calibration_fixed_mismatch,calibration_fixed_mismatch,12h,False
2026-03-17T02:41:39.906932+00:00,1h,trend_ignition,75655.29,0.0034240633249282837,75914.7825096899,0.31780276921662415,0.3618076734840315,0.04400490426740733,down,down,down,up,up,both_mismatch,both_mismatch,1h@trend_ignition,True
2026-03-17T02:41:39.906932+00:00,4h,trend_ignition,75655.29,0.010062657296657562,76420.42645262438,0.6194466364880403,0.20229038091928864,-0.4171562555687517,down,up,down,up,up,calibration_introduced_mismatch,calibration_introduced_mismatch,4h,False
2026-03-17T02:41:39.906932+00:00,8h,trend_ignition,75655.29,0.013081134296953678,76651.44824379886,0.8175737236936887,0.7147974887443836,-0.1027762349493051,up,up,up,up,up,both_match,both_match,8h,False
2026-03-17T02:49:30.880068+00:00,12h,trend_ignition,75655.29,0.012300929985940456,76591.66777695509,0.3641796822797498,0.7771499051881698,0.41297022290842006,up,down,up,up,up,calibration_fixed_mismatch,calibration_fixed_mismatch,12h,False
2026-03-17T02:49:30.880068+00:00,1h,trend_ignition,75655.29,0.0034240633249282837,75914.7825096899,0.31780276921662415,0.3618076734840315,0.04400490426740733,up,down,down,up,up,both_mismatch,both_mismatch,1h@trend_ignition,True
2026-03-17T02:49:30.880068+00:00,4h,trend_ignition,75655.29,0.010062657296657562,76420.42645262438,0.6194466364880403,0.20229038091928864,-0.4171562555687517,down,up,down,up,up,calibration_introduced_mismatch,calibration_introduced_mismatch,4h,False
2026-03-17T02:49:30.880068+00:00,8h,trend_ignition,75655.29,0.013081134296953678,76651.44824379886,0.8175737236936887,0.7147974887443836,-0.1027762349493051,up,up,up,up,up,both_match,both_match,8h,False
2026-03-17T02:51:25.706024+00:00,12h,trend_ignition,75655.29,0.012300929985940456,76591.66777695509,0.3641796822797498,0.7771499051881698,0.41297022290842006,up,down,up,up,up,calibration_fixed_mismatch,calibration_fixed_mismatch,12h,False
2026-03-17T02:51:25.706024+00:00,1h,trend_ignition,75655.29,0.0034240633249282837,75914.7825096899,0.31780276921662415,0.3618076734840315,0.04400490426740733,up,down,down,up,up,both_mismatch,both_mismatch,1h@trend_ignition,True
2026-03-17T02:51:25.706024+00:00,4h,trend_ignition,75655.29,0.010062657296657562,76420.42645262438,0.6194466364880403,0.20229038091928864,-0.4171562555687517,up,up,down,up,up,calibration_introduced_mismatch,calibration_introduced_mismatch,4h,False
2026-03-17T02:51:25.706024+00:00,8h,trend_ignition,75655.29,0.013081134296953678,76651.44824379886,0.8175737236936887,0.7147974887443836,-0.1027762349493051,up,up,up,up,up,both_match,both_match,8h,False
2026-03-17T02:57:11.612679+00:00,12h,trend_ignition,75655.29,0.012300929985940456,76591.66777695509,0.3641796822797498,0.6531556590192272,0.28897597673947745,up,down,up,up,up,calibration_fixed_mismatch,calibration_fixed_mismatch,12h@trend_ignition,True
2026-03-17T02:57:11.612679+00:00,1h,trend_ignition,75655.29,0.0034240633249282837,75914.7825096899,0.31780276921662415,0.582050153959082,0.26424738474245785,up,down,up,up,up,calibration_fixed_mismatch,calibration_fixed_mismatch,1h@trend_ignition,True
2026-03-17T02:57:11.612679+00:00,4h,trend_ignition,75655.29,0.010062657296657562,76420.42645262438,0.6194466364880403,0.6529533389328324,0.033506702444792036,up,up,up,up,up,both_match,both_match,4h@trend_ignition,True
2026-03-17T02:57:11.612679+00:00,8h,trend_ignition,75655.29,0.013081134296953678,76651.44824379886,0.8175737236936887,0.6320029916543431,-0.1855707320393456,up,up,up,up,up,both_match,both_match,8h@trend_ignition,True
2026-03-17T03:07:57.436248+00:00,12h,trend_ignition,75186.1,0.012363506481051445,76121.4339238739,0.34598773364613794,0.6497241131852883,0.3037363795391504,up,down,up,up,up,calibration_fixed_mismatch,calibration_fixed_mismatch,12h@trend_ignition,True
2026-03-17T03:07:57.436248+00:00,1h,trend_ignition,75186.1,-0.004373273346573114,74858.00857249455,0.3815103031017564,0.5818340584410511,0.2003237553392947,up,down,up,down,down,calibration_introduced_mismatch,calibration_introduced_mismatch,1h@trend_ignition,True
2026-03-17T03:07:57.436248+00:00,4h,trend_ignition,75186.1,0.0032385755330324173,75429.99057974841,0.6765523552506542,0.6554487257253802,-0.021103629525274004,up,up,up,up,up,both_match,both_match,4h@trend_ignition,True
