ts,active_addresses,transaction_count,hash_rate,market_cap
2025-10-01T00:59:59.999000Z,795155.0,342041.0,389.96,824379099811.0
2025-10-01T01:59:59.999000Z,798273.0,349944.0,380.751,820467760562.0
2025-10-01T02:59:59.999000Z,796459.0,342655.0,385.677,824299591294.0
2025-10-01T03:59:59.999000Z,801426.0,350672.0,387.817,827568133781.0
2025-10-01T04:59:59.999000Z,803086.0,350600.0,393.83,826839870320.0
2025-10-01T05:59:59.999000Z,801689.0,345201.0,390.29,824545149304.0
2025-10-01T06:59:59.999000Z,812233.0,338973.0,382.86,824327814505.0
2025-10-01T07:59:59.999000Z,800906.0,354113.0,386.486,826649280089.0
2025-10-01T08:59:59.999000Z,812102.0,346490.0,393.499,825057975246.0
2025-10-01T09:59:59.999000Z,800579.0,343630.0,383.208,828783511966.0
2025-10-01T10:59:59.999000Z,806788.0,348732.0,388.96,827111882433.0
2025-10-01T11:59:59.999000Z,812978.0,347698.0,389.447,826873398508.0
2025-10-01T12:59:59.999000Z,813357.0,350111.0,387.702,826804382966.0
2025-10-01T13:59:59.999000Z,806234.0,342195.0,403.246,829040882582.0
2025-10-01T14:59:59.999000Z,811745.0,346093.0,387.838,828793953224.0
2025-10-01T15:59:59.999000Z,811709.0,340049.0,392.284,829307139674.0
2025-10-01T16:59:59.999000Z,807535.0,347430.0,386.335,829458363502.0
2025-10-01T17:59:59.999000Z,813944.0,344642.0,392.935,829148978549.0
2025-10-01T18:59:59.999000Z,820805.0,345826.0,394.779,827422755390.0
2025-10-01T19:59:59.999000Z,814477.0,344082.0,387.612,828224281556.0
2025-10-01T20:59:59.999000Z,815574.0,343628.0,390.403,829092091955.0
2025-10-01T21:59:59.999000Z,816725.0,341121.0,386.323,834208603276.0
2025-10-01T22:59:59.999000Z,806679.0,347717.0,385.199,827577678644.0
2025-10-01T23:59:59.999000Z,816902.0,350473.0,396.225,829634900577.0
2025-10-02T00:59:59.999000Z,810132.0,342244.0,388.389,830867250175.0
2025-10-02T01:59:59.999000Z,812879.0,346640.0,379.207,830262269541.0
