ts,open,high,low,close,volume
2025-10-01T00:59:59.999000Z,42027.02,42046.2,41982.45,42012.19,1580.4
2025-10-01T01:59:59.999000Z,41980.63,42005.29,41962.4,41980.03,1363.19
2025-10-01T02:59:59.999000Z,42000.18,42030.78,41982.74,42019.48,1390.8
2025-10-01T03:59:59.999000Z,42046.12,42100.9,42031.31,42066.52,1706.21
2025-10-01T04:59:59.999000Z,41976.48,42005.83,41942.4,41997.89,1668.99
2025-10-01T05:59:59.999000Z,41928.68,41985.07,41918.43,41955.19,1504.22
2025-10-01T06:59:59.999000Z,41971.31,41994.13,41960.13,41969.67,1433.62
2025-10-01T07:59:59.999000Z,41983.22,41995.57,41956.38,41966.35,1668.74
2025-10-01T08:59:59.999000Z,41974.77,42002.34,41950.01,41974.97,1351.0
2025-10-01T09:59:59.999000Z,41916.2,41957.64,41881.44,41950.1,1558.8
2025-10-01T10:59:59.999000Z,41991.63,42022.72,41979.56,41994.49,1840.9
2025-10-01T11:59:59.999000Z,42032.32,42057.46,42000.15,42034.76,1530.8
2025-10-01T12:59:59.999000Z,42077.94,42086.26,42033.14,42046.5,1383.66
2025-10-01T13:59:59.999000Z,42078.78,42108.02,42054.34,42100.63,1561.56
2025-10-01T14:59:59.999000Z,42122.45,42155.83,42116.23,42128.31,1429.5
2025-10-01T15:59:59.999000Z,42128.43,42142.22,42082.97,42102.84,1290.88
2025-10-01T16:59:59.999000Z,42133.17,42164.85,42101.79,42126.42,1605.16
2025-10-01T17:59:59.999000Z,42105.27,42133.13,42075.73,42096.82,1667.68
2025-10-01T18:59:59.999000Z,42142.34,42168.29,42128.49,42140.62,1453.36
2025-10-01T19:59:59.999000Z,42152.15,42165.51,42117.35,42147.2,1443.41
2025-10-01T20:59:59.999000Z,42159.96,42186.22,42114.19,42148.29,1355.77
2025-10-01T21:59:59.999000Z,42117.3,42162.89,42098.52,42129.44,1477.51
2025-10-01T22:59:59.999000Z,42199.8,42207.54,42162.55,42186.63,1415.64
2025-10-01T23:59:59.999000Z,42168.02,42203.4,42139.31,42188.62,1348.35
2025-10-02T00:59:59.999000Z,42184.48,42196.52,42167.31,42179.55,1783.83
2025-10-02T01:59:59.999000Z,42176.1,42192.89,42142.48,42173.41,1569.97
2025-10-02T02:59:59.999000Z,42193.29,42229.81,42179.89,42202.54,1585.86
2025-10-02T03:59:59.999000Z,42224.52,42244.09,42196.25,42224.86,1632.51
2025-10-02T04:59:59.999000Z,42239.61,42271.07,42231.25,42248.95,1615.66
2025-10-02T05:59:59.999000Z,42257.55,42288.05,42243.9,42273.63,1438.03
2025-10-02T06:59:59.999000Z,42361.3,42375.84,42340.29,42366.6,1540.88
2025-10-02T07:59:59.999000Z,42340.96,42370.53,42320.21,42357.52,1459.65
2025-10-02T08:59:59.999000Z,42348.9,42379.69,42313.55,42344.06,1565.77
2025-10-02T09:59:59.999000Z,42301.14,42341.46,42266.26,42318.39,1551.25
2025-10-02T10:59:59.999000Z,42360.44,42376.78,42341.55,42349.76,1442.6
